id,nome,codigo,sigla,pais_id,padrao,capital
1,"Distrito Federal",53,DF,1,S,S
2,"Rio de Janeiro",33,RJ,1,N,N
3,Rondônia,11,NULL,1,N,N
4,Acre,12,NULL,1,N,N
5,Amazonas,13,NULL,1,N,N
6,Roraima,14,NULL,1,N,N
7,Pará,15,NULL,1,N,N
8,Amapá,16,NULL,1,N,N
9,Tocantins,17,NULL,1,N,N
10,Maranhão,21,NULL,1,N,N
11,Piauí,22,NULL,1,N,N
12,Ceará,23,NULL,1,N,N
13,"Rio Grande do Norte",24,NULL,1,N,N
14,Paraíba,25,NULL,1,N,N
15,Pernambuco,26,NULL,1,N,N
16,Alagoas,27,NULL,1,N,N
17,Sergipe,28,NULL,1,N,N
18,Bahia,29,NULL,1,N,N
19,"Minas Gerais",31,NULL,1,N,N
20,"Espírito Santo",32,NULL,1,N,N
21,"São Paulo",35,NULL,1,N,N
22,Paraná,41,NULL,1,N,N
23,"Santa Catarina",42,NULL,1,N,N
24,"Rio Grande do Sul",43,NULL,1,N,N
25,"Mato Grosso do Sul",50,NULL,1,N,N
26,"Mato Grosso",51,NULL,1,N,N
27,Goiás,52,NULL,1,N,N
